ID	RA	DEC	zspec	zq	id	IC	dIC	zb	zbmin	zbmax
--	--	---	-----	--	--	--	---	--	-----	-----
1	102.4864833333	70.2350463889	0.632	4	39672	20.559	0.041	0.585	0.559	0.639
2	102.1949041667	70.3414763889		1	57055	22.331	0.088	0.754	0.697	0.813
4	102.1421583333	70.3143080556	0.111	4	54520	17.644	0.019	0.443	0.421	0.464
5	102.6070208333	70.2534255556	0.595	3	43399	19.956	0.033	0.658	0.593	0.690
7	101.9762000000	70.2428741667		1
8	102.4160291667	70.3677216667	0.581	1	61831	21.008	0.049	0.621	0.559	0.664
9	102.4557625000	70.2625886111	0.622	3	44259	20.312	0.045	0.622	0.562	0.668
10	102.6770208333	70.4131241667	0.632	4	73875	20.991	0.054	0.630	0.575	0.670
13	102.0444000000	70.1201247222		1	20201	21.008	0.045	0.589	0.552	0.628
14	102.4950250000	70.1417463889	0.592	4	24618	19.189	0.031	0.636	0.602	0.670
15	101.9770500000	70.1670761111		1	27799	21.196	0.080	0.643	0.604	0.763
16	102.2200291667	70.1794052778	0.568	4	29932	20.582	0.045	0.585	0.531	0.630
17	102.2778500000	70.0196533333	0.	-1	5367	19.910	0.052	0.701	0.637	0.733
18	102.6274750000	70.0985716667	0.588	3	17271	20.394	0.045	0.667	0.590	0.695
19	102.2822375000	70.0284880556	0.401	2	6371	20.972	0.061	0.472	0.360	0.508
20	102.4957375000	70.1159972222	0.588	4	20528	18.620	0.027	0.578	0.558	0.597
23	101.6251750000	70.1257325000	0.510	2	21712	20.246	0.037	0.508	0.465	0.536
24	101.8842125000	69.9618150000		0	550	21.418	0.068	0.532	0.470	0.575
25	101.5260541667	70.0284805556	0.461	4	6352	21.056	0.057	0.468	0.429	0.568
26	101.8554333333	70.0050352778	0.507	4	3650	20.073	0.037	0.534	0.484	0.576
29	101.4802833333	69.9868544444	0.648	4	2064	20.155	0.044	0.627	0.585	0.677
30	101.8299875000	70.1787186111		0	29982	21.534	0.056	0.714	0.659	0.749
31	102.2953125000	70.2996063889	0.588	2	50540	20.673	0.041	0.570	0.543	0.608
32	102.6825333333	70.4050141667	0.735	1	68147	21.115	0.062	0.674	0.632	0.842
35	102.6813791667	70.3532408333		0	59592	21.170	0.045	0.544	0.493	0.577
36	102.4032791667	70.3530883333	0.624	4	59661	20.002	0.044	0.633	0.588	0.681
37	101.9395000000	70.2613297222	0.278	2	43410	23.089	0.176	0.550	0.407	0.647
38	102.2911833333	70.3298491667	0.722	2	55291	21.095	0.057	0.713	0.651	0.742
39	102.0204875000	70.2833022222	0.591	2	47657	20.550	0.042	0.623	0.591	0.658
41	102.3814041667	70.2648466667	0.513	4	44438	20.093	0.044	0.499	0.445	0.539
42	102.7338000000	70.3403777778	0.730	3	57403	20.357	0.054	0.732	0.694	0.849
43	101.9324208333	70.2472380556	0.980	4	40973	24.437	0.270	1.297	0.912	2.165
44	102.0483541667	70.2694472222	0.246	4	46796	17.658	0.016	0.236	0.167	0.272
45	102.7751833333	70.2852555556		0	47952	21.136	0.068	0.721	0.682	0.787
46	102.2227041667	70.2792283333	0.597	3	47157	19.831	0.037	0.566	0.542	0.589
47	101.9323166667	70.2534561111		0						
48	102.7959041667	70.3223572222	0.416	2	54263	20.505	0.040	0.536	0.461	0.570
49	102.8021208333	70.3153152778	0.48	3	53131	20.922	0.054	0.519	0.460	0.599
51	102.6721000000	70.1732711111	0.591	4	29233	20.982	0.051	0.655	0.597	0.690
53	102.3915916667	70.2031022222	0.591	4	34405	20.353	0.034	0.567	0.522	0.610
54	102.7716333333	70.2316055556		0	39047	20.677	0.045	0.569	0.521	0.617
55	102.7679750000	70.1881713889	0.622	4	31885	20.861	0.059	0.541	0.506	0.578
56	101.9607333333	70.2368163889	1.057	2						
57	102.1617375000	70.2219466667	0.620	3	37755	20.076	0.045	0.647	0.600	0.699
58	102.7958666667	70.2143936111	0.671	4	36223	20.303	0.041	0.590	0.542	0.635
59	102.6785000000	70.2059630556	0.45	1	34641	21.066	0.061	0.513	0.400	0.546
60	102.4606041667	70.2192383333	0.618	4	37289	19.926	0.042	0.597	0.565	0.631
63	102.7723125000	70.1046830556	0.587	4	18224	20.263	0.040	0.568	0.537	0.633
64	102.7977708333	70.1600188889	0.592	2	27089	20.092	0.056	0.633	0.588	0.691
65	102.4308791667	70.1580580556	0.481	3	27055	19.983	0.040	0.499	0.458	0.539
66	102.6863041667	70.1651536111	0.603	4	27868	20.513	0.042	0.555	0.525	0.584
67	102.6842750000	70.1333466667	0.590	2	22496	20.987	0.055	0.563	0.531	0.592
68	102.0106541667	70.2272950000	0.425	4	38287	19.515	0.044	0.421	0.338	0.463
69	102.1976625000	70.1981963889		0	33839	19.954	0.033	0.575	0.553	0.613
70	102.5789291667	70.1612091667	0.618	4	28384	19.334	0.032	0.666	0.631	0.700
71	102.1893500000	70.1320419444	0.580	2	22233	20.469	0.055	0.537	0.499	0.585
72	102.6550333333	70.0742036111	0.594	4	14134	19.660	0.030	0.672	0.635	0.705
73	102.4108125000	70.0797119444	0.529	2	14434	20.569	0.036	0.532	0.492	0.577
75	102.3600000000	70.1023102778	0.574	4	17781	19.831	0.030	0.593	0.553	0.633
76	102.4763125000	70.1079025000	0.593	4	18980	19.375	0.029	0.611	0.562	0.633
77	101.9310750000	70.2267608333	0.474	2						
78	102.4659791667	70.1008530556	0.594	2	17315	20.734	0.061	0.588	0.544	0.638
79	101.9315750000	70.2344588889		0	39086	21.911	0.069	2.048	2.026	2.069
81	102.0458916667	70.1493452778	0.349	4	24920	22.183	0.101	0.311	0.245	2.865
83	101.9920500000	70.1998750000		0	33399	21.317	0.072	0.614	0.567	0.688
